Title,Author,Series,Romance.io Rating,# of Ratings,# of Reviews,Release Day/Month,Release Year,Release Date,Story Length,Page Count,Priority,Priority #,Contemporary,Futuristic,Historical,Ancient Times,Medieval,Tudors & Stuarts,Georgian,Regency,Victorian,Western Frontier,American Civil War,20th Century,Dark Romance,Young Adult,New Adult,Mystery,Suspense,Dystopian,Funny,Angst,Horror,Fantasy,High Fantasy,Urban Fantasy,Steampunk,Paranormal,Magic,Time Travel,Angels,Demons,Fae,Monsters,Shapeshifters,Werewolves,Dragon Shifter,Bear Shifter,Lion Shifter,Tiger Shifter,Vampires,Witches,Science Fiction,Aliens,M-F Romance,Gay Romance,Lesbian Romance,Non-Binary Romance,Older/Mature,Childfree,Queer Romance,Queer Awakening,Bisexuality,Age Gap,Boss & Employee,Class Difference,Grumpy & Sunshine,Height Difference,Multicultural,Arranged/Forced Marriage,Caretaking,Enemies To Lovers,Fake Relationship,Fated Mates,Forbidden Love,Forced Proximity,Friends To Lovers,Good Grovel,Hurt/Comfort,Insta-Love,Marriage Of Convenience,Other Man/Woman,Love Triangle,Cheating,Pregnancy,Second Chances,Secret Child,Secret Relationship,Sibling's Best Friend,Slow Burn,Abduction,Betrayal,Christmas,Disabilities & Scars,Found Family,Mafia,Military,Neurodivergent MC,Political/Court Ingtrigue,Slavery,Superheroes,Survival,Vengeance,War,Black MC,African-American,BW/WM,East Asian MC,Indigenous MC,Latinx MC,South Asian/Desi,Southeast Asian MC,Amish,Buddhist,Christian,Hindu,Jewish,Muslim,Pagan,Sports,Baseball,Basketball,Fighting/MMA/Boxing,Football,Hockey,Ice/Figure Skating,Soccer,Highschool,College,Workplace/Office,Small Town,Western,Africa,Northern Africa,Morocco,Eastern Africa,Djibouti,Somalia,Asia,Central Asia,East Asia,South Asia,Southeast Asia,Western Asia,Isreal,Jordan,Palestine,North America,Caribbean,Bahamas,Jamaica,Central America,Costa Rica,Canada,Mexico,USA,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York State,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington D.C.,Washington State,West Virginia,Wisconsin,Wyoming,South America,Argentina,Colombia,Peru,Europe,Ireland,United Kingdom,England,Northern Ireland,Scotland,Wales,Western & Central Europe,Belgium,France,Germany,Hungary,Netherlands,Switzerland,Scandinavia,Norway,Sweden,Southern Europe,Italy,Spain,South-East Europe,Greece,Kosovo,Romania,Serbia,Eastern Europe,Belarus,Russia,Oceania,Australia,New Zealand,Cheerful/Happy Heroine,Competent Heroine,Female Rake,Grumpy/Ice Queen,Independent Heroine,Sassy Heroine,Shy Heroine,Sweet/Gentle Heroine,Take-Charge Heroine,Dangerous Heroine,Gifted/Super-Heroine,Non-Human Heroine,Poor Heroine,Rich Heroine,Single Mother,Tortured Heroine,Trans Heroine,Curvy Heroine,Plain Heroine,Tall Heroine,Aristo/Royal Heroine,Athlete Heroine,Bodyguard/Protector Heroine,Famous Heroine,Criminal Heroine,Sleuth Heroine,Teacher/Coach Heroine,Warrior Heroine,White Collar Heroine,Working Class Heroine,Bad Boys,Cruel Hero/Bully,Grumpy/Cold Hero,Himbo,Nerdy Hero,Possessive Hero,Shy Hero,Sunny/Happy Hero,Sweet/Gentle Hero,Non-Human Hero,Rich Hero,Single Father,Tortured Hero,Trans Hero,Dad-Bod Hero,Short King,Actor Hero,Athlete Hero,Biker Hero,Bodyguard/Protector Hero,CEO/Tycoon Hero,Cowboy Hero,Fighter Hero,Men in Uniform,Pirate Hero,Politician Hero,Rockstar Hero,Teacher/Coach Hero,Warlord/Commander Hero,Working Class Hero,Highlander Hero,Royal Hero,Sheik,Viking Hero,No HEA,Nontraditional HEA,Ableism,Animal Abuse,Animal Death,Eating Disorders,Fatphobia,Gambling,Graphic Violence,Human Trafficking,Mental Illness,Mental Trauma,Miscarriage/Infertility,Misogyny,Queerphobia,Racism,Religious Trauma,Self Harm,Suicide/Ideation,Terminal Illness,Torture of MCs,Torture of Side Characters,Victim Blaming,Abuse,Abuse Between MCs,Third Party Abuse,Past Abuse,Past Child Abuse,Past Child Neglect,Death/Grief,Child Death,Substance Abuse,Alcoholism,Drug Abuse,Male POV,Dual POV,First Person POV,Third Person POV,Status,Date Started,Date Finished,Total Days,TBR Placement
Lola & the Millionaires: Part One,Kathryn Moon,Sweet Omegaverse ,4.37,326,28,6/11,2020,11-Jun-20,Medium,366,Medium Priority,4,27,,,,,,,,,,,,,,9,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,23,21,25,3,7,1,11,,7,,,,,6,14,,6,,,,,,,3,,,,,,,,,5,,,,,,,,,,7,,,,,7,4,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,4,,5,,,,15,,,29,,,,,,,,,,,,,,,,,,,,,4,1,33,,33,,,,,,,,,4,21,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,19,,,22,,,,,,,,2,14,9,,Unread,,,,23
Ranger,Rebecca Sharp,Reynolds Protective,4.45,30,3,5/23,2023,23-May-23,Medium,356,Low Priority,2,9,,,,,,,,,,,,,,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,2,,4,,,9,9,,,,9,,,,,,,3,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,3,,,,,,,,,,7,,,,,1,,,,,,8,3,6,,6,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6,3,,Unread,,,,24
The Darkest Seduction,Gena Showalter,Lords of the Underworld,4.11,56,1,2/28,2012,28-Feb-12,Long,512,Medium Priority,4,18,,,,,,,,,,,,16,,1,7,14,,,,,14,,17,,19,14,,,19,,,,,,,,,13,,,,3,,,,,,,,,2,,,,4,,,2,,,4,,,,,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,5,,,,,9,,7,,,,,,,,,,,,2,17,,,,,10,,,,3,,,19,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,1,2,,,,,,,,1,Unread,,,,25
Breaking Free,Cherise Sinclair,Masters of the Shadowlands,4.3,89,2,5/18,2010,18-May-10,Short,234,Medium Priority,3,8,,,,,,,,,,,,,,,,7,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,4,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,2,,,,,2,,,5,,,,,,,,,,,,,,1,,,2,,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,11,,,3,,,,,,,,,1,,,Unread,,,,26
Breathe,Kristen Ashley,Colorado Mountain,4.27,191,7,12/11,2012,11-Dec-12,Epic,649,Low Priority,2,23,,,,,,,,,,,,,,,20,19,,7,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,12,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,35,9,10,,,,2,,,,,4,,,,,,,,5,1,,3,1,12,,5,,,18,,,,,1,,11,,,,,,,1,,,,24,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,14,,,,,,,,,,,4,5,,,Unread,,,,27
Sweet Fall,Tillie Cole,Sweet Home,4.36,46,0,8/26,2014,26-Aug-14,Long,439,Low Priority,2,11,,,,,,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,11,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,12,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,Unread,,,,28
Dreams of a Dark Warrior,Kresley Cole,Immortals After Dark,4.2,148,5,2/15,2011,15-Feb-11,Long,515,High Priority,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,Unread,,,,29
Sweet Soul,Tillie Cole,Sweet Home,4.2,60,0,12/14,2015,14-Dec-15,Long,442,Medium Priority,3,12,,,,,,,,,,,,,,9,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,12,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,,,,,,,,10,,,,,,,,,,,,,,,,,,,,5,2,,12,,,,4,,,,,20,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,4,3,,,,,18,,,,,,5,,5,,,,2,,,Unread,,,,30
Bane,Bex McLynn,The Ladyships,4.11,9,0,10/4,2019,4-Oct-19,Medium,370,Medium Priority,2,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,31
Find Me,Ashley N. Rostek,WITSEC,4.43,148,13,8/20,2021,20-Aug-21,Medium,274,Medium Priority,4,17,,,,,,,,,,,,11,9,11,,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,4,,,,,,,,,,20,,1,,,,,,,,,,,11,8,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,1,7,,,,,7,,10,,,,,,6,,,,,,,,,,,10,,,6,,5,8,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,11,,1,8,,,13,,7,,,,2,1,,Unread,,,,32
Before Us,Jewel E. Ann,,4.24,38,2,2/2,2023,2-Feb-23,Long,444,Low Priority,2,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,6,3,,,,,,2,,,,,4,7,,,,7,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,5,,,,,,2,,,Unread,,,,33
Cannon,Samantha Whiskey,Carolina Reapers,4.26,44,3,2/20,2020,20-Feb-20,Medium,318,Low Priority,2,10,,,,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,6,2,,,,6,4,,,,2,,,,6,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,3,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,6,,4,6,,,,,4,,,,,,,,,,2,,,,,,1,,,4,,,5,,,,,6,,4,,,,,8,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,2,1,1,1,,1,1,,,1,,,Unread,,,,34
Transcend,Jewel E. Ann,Transcend ,4.18,28,3,3/25,2018,25-Mar-18,Medium,318,Medium Priority,3,5,,,,,,,,,,,,2,,5,2,5,,,2,,2,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,35
Asher,Carian Cole,Ashes & Embers,4.37,33,1,5/31,2020,31-May-20,Long,480,Medium Priority,3,3,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,36
Still Wicked,Kathleen Ayers,The Wickeds,4.21,10,0,5/25,2020,25-May-20,Medium,356,Medium Priority,4,,,5,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,37
Vartan,Alana Khan,Galaxy Gladiators,4.33,6,0,7/25,2021,25-Jul-21,Short,233,Medium Priority,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,38
To Command and Collar,Cherise Sinclair,Masters of the Shadowlands,4.51,84,1,11/28,2011,28-Nov-11,Long,402,High Priority,4,9,,,,,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,11,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,2,,,Unread,,,,39
Beauty and the Beefcake,Pippa Grant,The Copper Valley Thrusters,4.14,34,3,5/17,2018,17-May-18,Long,412,Medium Priority,3,7,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,2,,,,2,3,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,1,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,Unread,,,,40
Reckless,Elsie Silver,Chestnut Springs,4.32,202,19,6/9,2023,9-Jun-23,Long,466,Medium Priority,2,28,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,16,,,,,6,,,,11,5,2,,8,,,,,31,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,6,19,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,18,11,7,,,8,,,,,,18,,,,,,,,,,,,,,7,,,,,7,,,,11,9,,,,,,,,,15,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,7,22,10,,Unread,,,,41
The Gatekeeper,K. Alex Walker,"Myths, Legends, and Monsters",4.58,12,2,1/1,2020,1-Jan-20,Long,510,Medium Priority,3,1,,,,,,,,,,,,,,,2,,,,,,5,,,,5,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,7,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,2,3,,,,,,,1,,2,,,,,,,,,,,,,,,,,,2,,,,3,3,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,Unread,,,,42
Eagle,Janie Crouch,Linear Tactical,4.03,18,0,10/30,2018,30-Oct-18,Medium,278,Medium Priority,2,6,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,3,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,4,,,2,,,,,,,,,,,2,,,,,,,,,1,,,,,,7,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,1,Unread,,,,43
The Price We Pay,Auryn Hadley,The Path of Temptation,4.41,43,2,2/19,2021,19-Feb-21,Long,494,Medium Priority,3,,,,,,,,,,,,,2,,7,,,,,,,13,3,,,8,5,,,,,,,,,,,,,,,,6,,,,,6,6,,5,,,,,,,,,,,,,,7,,,,,,,,,,,,,4,,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,1,4,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,6,5,6,,,,,,,,,,,7,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,4,,Unread,,,,44
Flawed,Auryn Hadley,Gamer Girls,4.63,12,0,6/7,2016,7-Jun-16,Long,518,Low Priority,2,9,,,,,,,,,,,,1,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,1,2,,1,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,1,,1,,,,1,2,,1,,,2,,1,,,,,,2,,1,,,,,Unread,,,,45
Heart of Obsidian,Nalini Singh,Psy-Changeling,4.6,168,12,11/26,2013,26-Nov-13,Medium,384,Low Priority,2,,11,,,,,,,,,,,,,,5,8,1,,,,7,,14,,10,3,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,1,,,,,,3,,,9,,,,,,,,,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,15,,,,,,,,,,,,,,,10,,8,,,17,,,,,12,,11,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,3,,,,,,,,1,6,,,Unread,,,,46
Rock Chick Revenge,Kristen Ashley,Rock Chick,4.41,152,3,4/18,2013,18-Apr-13,Long,496,Low Priority,2,11,,,,,,,,,,,,,,2,9,9,,3,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,3,11,,,3,,3,7,,,10,,,,,1,,,,,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,8,,,10,,,,,,,3,,6,,3,,,,,,,,,2,,13,,2,,,10,,,,,,,,,,,,,1,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,2,,Unread,,,,47
Butterfly and Atlas,Lucian Bane,"Royal Bastards MC: Newark, NJ Chapter",4.67,3,0,7/25,2022,25-Jul-22,Medium,297,High Priority,4,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,48
Texas Lilies,Samantha Christy,Devil's Horn Ranch,4.22,9,0,11/30,2021,30-Nov-21,Medium,325,Low Priority,2,2,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,49
